instant,dteday,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_check,season,time_cluster
1625,2011-03-13,0,3,5,0,0,0,1,0.36,0.3485,0.62,0.1343,0,3,3,3,1,Pagi
1626,2011-03-13,0,3,6,0,0,0,1,0.34,0.3636,0.66,0.0,0,2,2,2,1,Pagi
1627,2011-03-13,0,3,7,0,0,0,1,0.36,0.3485,0.62,0.194,2,8,10,10,1,Siang
1628,2011-03-13,0,3,8,0,0,0,1,0.4,0.4091,0.5,0.2985,11,23,34,34,1,Siang
1629,2011-03-13,0,3,9,0,0,0,1,0.4,0.4091,0.5,0.4179,8,36,44,44,1,Siang
1630,2011-03-13,0,3,10,0,0,0,1,0.42,0.4242,0.47,0.2537,36,86,122,122,1,Siang
1631,2011-03-13,0,3,11,0,0,0,1,0.44,0.4394,0.41,0.4179,88,93,181,181,1,Siang
1632,2011-03-13,0,3,12,0,0,0,1,0.46,0.4545,0.38,0.3881,74,120,194,194,1,Siang
1633,2011-03-13,0,3,13,0,0,0,1,0.46,0.4545,0.38,0.3881,97,124,221,221,1,Sore
1634,2011-03-13,0,3,14,0,0,0,1,0.46,0.4545,0.41,0.2985,144,106,250,250,1,Sore
1635,2011-03-13,0,3,15,0,0,0,1,0.48,0.4697,0.39,0.3284,149,155,304,304,1,Sore
1636,2011-03-13,0,3,16,0,0,0,1,0.46,0.4545,0.41,0.3881,124,132,256,256,1,Sore
1637,2011-03-13,0,3,17,0,0,0,1,0.44,0.4394,0.41,0.3582,98,143,241,241,1,Sore
1638,2011-03-13,0,3,18,0,0,0,1,0.4,0.4091,0.43,0.3582,55,92,147,147,1,Sore
1639,2011-03-13,0,3,19,0,0,0,1,0.36,0.3333,0.5,0.3582,28,73,101,101,1,Malam
1640,2011-03-13,0,3,20,0,0,0,1,0.32,0.303,0.57,0.2985,23,54,77,77,1,Malam
1641,2011-03-13,0,3,21,0,0,0,1,0.3,0.2879,0.56,0.2537,9,49,58,58,1,Malam
1642,2011-03-13,0,3,22,0,0,0,1,0.3,0.2727,0.56,0.3284,8,29,37,37,1,Malam
1643,2011-03-13,0,3,23,0,0,0,1,0.26,0.2576,0.65,0.2239,5,23,28,28,1,Malam
1644,2011-03-14,0,3,0,0,1,1,1,0.26,0.2727,0.65,0.1045,4,7,11,11,1,
1645,2011-03-14,0,3,1,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1,1,1,1,Pagi
1646,2011-03-14,0,3,2,0,1,1,1,0.26,0.2879,0.65,0.0896,0,1,1,1,1,Pagi
1647,2011-03-14,0,3,3,0,1,1,1,0.26,0.2727,0.65,0.1343,0,3,3,3,1,Pagi
1648,2011-03-14,0,3,5,0,1,1,1,0.24,0.2424,0.7,0.1343,0,8,8,8,1,Pagi
1649,2011-03-14,0,3,6,0,1,1,1,0.26,0.2727,0.65,0.1343,1,27,28,28,1,Pagi
1650,2011-03-14,0,3,7,0,1,1,2,0.28,0.3182,0.61,0.0,4,84,88,88,1,Siang
1651,2011-03-14,0,3,8,0,1,1,2,0.3,0.303,0.56,0.1343,24,217,241,241,1,Siang
1652,2011-03-14,0,3,9,0,1,1,1,0.32,0.303,0.53,0.3284,13,127,140,140,1,Siang
1653,2011-03-14,0,3,10,0,1,1,1,0.34,0.3182,0.42,0.2537,27,57,84,84,1,Siang
1654,2011-03-14,0,3,11,0,1,1,1,0.36,0.3333,0.4,0.2537,26,45,71,71,1,Siang
1655,2011-03-14,0,3,12,0,1,1,1,0.38,0.3939,0.37,0.0,40,54,94,94,1,Siang
1656,2011-03-14,0,3,13,0,1,1,1,0.38,0.3939,0.36,0.3284,24,51,75,75,1,Sore
1657,2011-03-14,0,3,14,0,1,1,2,0.38,0.3939,0.34,0.0,27,52,79,79,1,Sore
1658,2011-03-14,0,3,15,0,1,1,1,0.38,0.3939,0.37,0.1642,24,77,101,101,1,Sore
1659,2011-03-14,0,3,16,0,1,1,1,0.4,0.4091,0.35,0.1045,27,80,107,107,1,Sore
1660,2011-03-14,0,3,17,0,1,1,1,0.38,0.3939,0.4,0.194,42,229,271,271,1,Sore
1661,2011-03-14,0,3,18,0,1,1,1,0.36,0.3636,0.4,0.1045,25,210,235,235,1,Sore
1662,2011-03-14,0,3,19,0,1,1,1,0.36,0.3485,0.43,0.1343,17,133,150,150,1,Malam
1663,2011-03-14,0,3,20,0,1,1,1,0.34,0.3182,0.46,0.2239,23,106,129,129,1,Malam
1664,2011-03-14,0,3,21,0,1,1,1,0.34,0.3333,0.46,0.1343,5,58,63,63,1,Malam
1665,2011-03-14,0,3,22,0,1,1,1,0.32,0.3333,0.49,0.1045,4,43,47,47,1,Malam
1666,2011-03-14,0,3,23,0,1,1,1,0.32,0.3485,0.53,0.0,2,17,19,19,1,Malam
1667,2011-03-15,0,3,0,0,2,1,1,0.32,0.3485,0.53,0.0,7,7,14,14,1,
1668,2011-03-15,0,3,1,0,2,1,1,0.3,0.303,0.62,0.0896,4,6,10,10,1,Pagi
1669,2011-03-15,0,3,2,0,2,1,1,0.3,0.303,0.62,0.0896,1,2,3,3,1,Pagi
1670,2011-03-15,0,3,4,0,2,1,1,0.24,0.2576,0.75,0.0896,1,1,2,2,1,Pagi
1671,2011-03-15,0,3,5,0,2,1,1,0.24,0.2273,0.75,0.194,0,11,11,11,1,Pagi
1672,2011-03-15,0,3,6,0,2,1,1,0.22,0.2273,0.8,0.194,3,32,35,35,1,Pagi
1673,2011-03-15,0,3,7,0,2,1,1,0.24,0.2424,0.75,0.1642,10,109,119,119,1,Siang
1674,2011-03-15,0,3,8,0,2,1,1,0.26,0.2879,0.7,0.0896,23,259,282,282,1,Siang
1675,2011-03-15,0,3,9,0,2,1,2,0.3,0.3333,0.7,0.0,10,147,157,157,1,Siang
1676,2011-03-15,0,3,10,0,2,1,2,0.32,0.3182,0.66,0.194,22,56,78,78,1,Siang
1677,2011-03-15,0,3,11,0,2,1,2,0.34,0.3182,0.57,0.2239,27,51,78,78,1,Siang
1678,2011-03-15,0,3,12,0,2,1,2,0.36,0.3485,0.5,0.2239,32,70,102,102,1,Siang
1679,2011-03-15,0,3,13,0,2,1,2,0.36,0.3333,0.57,0.2836,23,74,97,97,1,Sore
1680,2011-03-15,0,3,14,0,2,1,2,0.38,0.3939,0.46,0.2985,14,74,88,88,1,Sore
1681,2011-03-15,0,3,15,0,2,1,2,0.38,0.3939,0.43,0.2836,24,66,90,90,1,Sore
1682,2011-03-15,0,3,16,0,2,1,2,0.38,0.3939,0.46,0.3284,21,93,114,114,1,Sore
1683,2011-03-15,0,3,17,0,2,1,2,0.36,0.3485,0.62,0.194,22,195,217,217,1,Sore
1684,2011-03-15,0,3,18,0,2,1,2,0.36,0.3333,0.62,0.2985,18,207,225,225,1,Sore
1685,2011-03-15,0,3,19,0,2,1,2,0.34,0.3182,0.71,0.2836,14,138,152,152,1,Malam
1686,2011-03-15,0,3,20,0,2,1,2,0.34,0.3182,0.71,0.2836,9,79,88,88,1,Malam
1687,2011-03-15,0,3,21,0,2,1,3,0.32,0.3333,0.81,0.1045,2,53,55,55,1,Malam
1688,2011-03-15,0,3,22,0,2,1,2,0.32,0.3182,0.87,0.1642,1,20,21,21,1,Malam
1689,2011-03-15,0,3,23,0,2,1,2,0.32,0.3182,0.87,0.1642,1,17,18,18,1,Malam
1690,2011-03-16,0,3,0,0,3,1,3,0.3,0.2879,0.93,0.2537,0,8,8,8,1,
1691,2011-03-16,0,3,1,0,3,1,3,0.3,0.2727,1.0,0.2985,1,2,3,3,1,Pagi
1692,2011-03-16,0,3,3,0,3,1,2,0.28,0.2727,1.0,0.2239,1,2,3,3,1,Pagi
1693,2011-03-16,0,3,4,0,3,1,2,0.3,0.303,0.93,0.1642,0,1,1,1,1,Pagi
1694,2011-03-16,0,3,5,0,3,1,2,0.3,0.3182,0.93,0.1045,0,3,3,3,1,Pagi
1695,2011-03-16,0,3,6,0,3,1,2,0.3,0.3182,0.93,0.1045,1,30,31,31,1,Pagi
1696,2011-03-16,0,3,7,0,3,1,2,0.3,0.2879,0.93,0.194,10,101,111,111,1,Siang
1697,2011-03-16,0,3,8,0,3,1,2,0.32,0.3182,0.93,0.0,26,227,253,253,1,Siang
1698,2011-03-16,0,3,9,0,3,1,2,0.32,0.3333,0.93,0.1343,10,144,154,154,1,Siang
1699,2011-03-16,0,3,10,0,3,1,2,0.36,0.3485,0.81,0.1642,19,49,68,68,1,Siang
1700,2011-03-16,0,3,11,0,3,1,2,0.36,0.3485,0.81,0.1343,13,62,75,75,1,Siang
1701,2011-03-16,0,3,12,0,3,1,2,0.4,0.4091,0.71,0.1045,23,65,88,88,1,Siang
1702,2011-03-16,0,3,13,0,3,1,2,0.4,0.4091,0.76,0.1343,18,81,99,99,1,Sore
1703,2011-03-16,0,3,14,0,3,1,2,0.4,0.4091,0.76,0.2239,33,67,100,100,1,Sore
1704,2011-03-16,0,3,15,0,3,1,2,0.4,0.4091,0.76,0.2537,22,79,101,101,1,Sore
1705,2011-03-16,0,3,16,0,3,1,2,0.4,0.4091,0.76,0.1642,30,121,151,151,1,Sore
1706,2011-03-16,0,3,17,0,3,1,2,0.44,0.4394,0.54,0.2985,37,216,253,253,1,Sore
1707,2011-03-16,0,3,18,0,3,1,2,0.44,0.4394,0.54,0.2239,26,211,237,237,1,Sore
1708,2011-03-16,0,3,19,0,3,1,2,0.44,0.4394,0.51,0.3284,18,150,168,168,1,Malam
1709,2011-03-16,0,3,20,0,3,1,2,0.42,0.4242,0.54,0.2985,10,111,121,121,1,Malam
1710,2011-03-16,0,3,21,0,3,1,2,0.42,0.4242,0.58,0.2836,3,75,78,78,1,Malam
1711,2011-03-16,0,3,22,0,3,1,2,0.4,0.4091,0.62,0.3881,11,48,59,59,1,Malam
1712,2011-03-16,0,3,23,0,3,1,1,0.4,0.4091,0.65,0.194,9,18,27,27,1,Malam
1713,2011-03-17,0,3,0,0,4,1,1,0.38,0.3939,0.66,0.2537,4,19,23,23,1,
1714,2011-03-17,0,3,1,0,4,1,1,0.36,0.3485,0.71,0.2239,1,11,12,12,1,Pagi
1715,2011-03-17,0,3,2,0,4,1,1,0.34,0.303,0.71,0.2985,3,5,8,8,1,Pagi
1716,2011-03-17,0,3,3,0,4,1,1,0.34,0.3333,0.66,0.1642,1,1,2,2,1,Pagi
1717,2011-03-17,0,3,4,0,4,1,1,0.34,0.3333,0.71,0.194,0,3,3,3,1,Pagi
1718,2011-03-17,0,3,5,0,4,1,1,0.32,0.3333,0.76,0.1045,0,13,13,13,1,Pagi
1719,2011-03-17,0,3,6,0,4,1,1,0.32,0.3182,0.76,0.194,4,47,51,51,1,Pagi
1720,2011-03-17,0,3,7,0,4,1,1,0.32,0.3333,0.76,0.1343,12,128,140,140,1,Siang
1721,2011-03-17,0,3,8,0,4,1,1,0.36,0.3485,0.66,0.1343,17,282,299,299,1,Siang
1722,2011-03-17,0,3,9,0,4,1,1,0.4,0.4091,0.62,0.2537,23,162,185,185,1,Siang
1723,2011-03-17,0,3,10,0,4,1,1,0.44,0.4394,0.54,0.3284,9,69,78,78,1,Siang
1724,2011-03-17,0,3,11,0,4,1,1,0.44,0.4394,0.54,0.2836,20,66,86,86,1,Siang
1725,2011-03-17,0,3,12,0,4,1,1,0.5,0.4848,0.45,0.2239,24,81,105,105,1,Siang
1726,2011-03-17,0,3,13,0,4,1,2,0.52,0.5,0.42,0.0896,26,85,111,111,1,Sore
1727,2011-03-17,0,3,14,0,4,1,1,0.5,0.4848,0.45,0.1045,32,87,119,119,1,Sore
1728,2011-03-17,0,3,15,0,4,1,1,0.52,0.5,0.42,0.2537,30,95,125,125,1,Sore
1729,2011-03-17,0,3,16,0,4,1,1,0.5,0.4848,0.48,0.2836,34,108,142,142,1,Sore
1730,2011-03-17,0,3,17,0,4,1,1,0.5,0.4848,0.42,0.194,48,265,313,313,1,Sore
1731,2011-03-17,0,3,18,0,4,1,2,0.46,0.4545,0.59,0.1642,50,260,310,310,1,Sore
1732,2011-03-17,0,3,19,0,4,1,1,0.44,0.4394,0.58,0.194,18,189,207,207,1,Malam
1733,2011-03-17,0,3,20,0,4,1,1,0.42,0.4242,0.67,0.2239,25,112,137,137,1,Malam
1734,2011-03-17,0,3,21,0,4,1,1,0.42,0.4242,0.62,0.2239,19,119,138,138,1,Malam
1735,2011-03-17,0,3,22,0,4,1,1,0.4,0.4091,0.66,0.2239,17,70,87,87,1,Malam
1736,2011-03-17,0,3,23,0,4,1,1,0.42,0.4242,0.62,0.2836,7,43,50,50,1,Malam
1737,2011-03-18,0,3,0,0,5,1,1,0.42,0.4242,0.58,0.2836,5,24,29,29,1,
1738,2011-03-18,0,3,1,0,5,1,1,0.4,0.4091,0.62,0.2537,4,12,16,16,1,Pagi
1739,2011-03-18,0,3,2,0,5,1,1,0.4,0.4091,0.62,0.194,5,9,14,14,1,Pagi
1740,2011-03-18,0,3,3,0,5,1,1,0.36,0.3485,0.71,0.194,1,4,5,5,1,Pagi
1741,2011-03-18,0,3,5,0,5,1,1,0.38,0.3939,0.66,0.1642,2,8,10,10,1,Pagi
1742,2011-03-18,0,3,6,0,5,1,1,0.4,0.4091,0.66,0.194,1,35,36,36,1,Pagi
1743,2011-03-18,0,3,7,0,5,1,1,0.4,0.4091,0.66,0.194,11,112,123,123,1,Siang
1744,2011-03-18,0,3,8,0,5,1,1,0.42,0.4242,0.67,0.2537,24,256,280,280,1,Siang
1745,2011-03-18,0,3,9,0,5,1,1,0.46,0.4545,0.63,0.2239,18,192,210,210,1,Siang
1746,2011-03-18,0,3,10,0,5,1,1,0.52,0.5,0.53,0.2836,43,74,117,117,1,Siang
1747,2011-03-18,0,3,11,0,5,1,1,0.54,0.5152,0.52,0.2836,55,104,159,159,1,Siang
1748,2011-03-18,0,3,12,0,5,1,2,0.56,0.5303,0.49,0.3582,72,123,195,195,1,Siang
1749,2011-03-18,0,3,13,0,5,1,1,0.64,0.6212,0.41,0.2836,57,118,175,175,1,Sore
1750,2011-03-18,0,3,14,0,5,1,1,0.66,0.6212,0.39,0.2537,71,103,174,174,1,Sore
1751,2011-03-18,0,3,15,0,5,1,2,0.68,0.6364,0.39,0.3582,62,111,173,173,1,Sore
1752,2011-03-18,0,3,16,0,5,1,1,0.68,0.6364,0.39,0.2836,67,137,204,204,1,Sore
1753,2011-03-18,0,3,17,0,5,1,1,0.7,0.6364,0.37,0.3284,95,237,332,332,1,Sore
1754,2011-03-18,0,3,18,0,5,1,1,0.68,0.6364,0.39,0.1642,84,247,331,331,1,Sore
1755,2011-03-18,0,3,19,0,5,1,1,0.66,0.6212,0.44,0.1343,58,132,190,190,1,Malam
1756,2011-03-18,0,3,20,0,5,1,1,0.62,0.6212,0.46,0.1343,46,103,149,149,1,Malam
1757,2011-03-18,0,3,21,0,5,1,1,0.62,0.6212,0.46,0.1045,22,91,113,113,1,Malam
1758,2011-03-18,0,3,22,0,5,1,1,0.62,0.6212,0.5,0.1642,55,63,118,118,1,Malam
1759,2011-03-18,0,3,23,0,5,1,2,0.6,0.6212,0.53,0.2239,26,60,86,86,1,Malam
1760,2011-03-19,0,3,0,0,6,0,2,0.6,0.6212,0.53,0.2537,26,50,76,76,1,
1761,2011-03-19,0,3,1,0,6,0,2,0.58,0.5455,0.46,0.3582,16,35,51,51,1,Pagi
1762,2011-03-19,0,3,2,0,6,0,2,0.56,0.5303,0.43,0.2239,5,20,25,25,1,Pagi
1763,2011-03-19,0,3,3,0,6,0,2,0.54,0.5152,0.39,0.3284,1,7,8,8,1,Pagi
1764,2011-03-19,0,3,4,0,6,0,1,0.52,0.5,0.34,0.4179,1,2,3,3,1,Pagi
1765,2011-03-19,0,3,5,0,6,0,1,0.52,0.5,0.34,0.4179,0,2,2,2,1,Pagi
1766,2011-03-19,0,3,6,0,6,0,1,0.44,0.4394,0.44,0.4179,0,10,10,10,1,Pagi
1767,2011-03-19,0,3,7,0,6,0,1,0.4,0.4091,0.5,0.3284,4,9,13,13,1,Siang
1768,2011-03-19,0,3,8,0,6,0,1,0.42,0.4242,0.47,0.4925,11,37,48,48,1,Siang
1769,2011-03-19,0,3,9,0,6,0,1,0.42,0.4242,0.44,0.4627,35,41,76,76,1,Siang
1770,2011-03-19,0,3,10,0,6,0,1,0.44,0.4394,0.38,0.4179,55,85,140,140,1,Siang
1771,2011-03-19,0,3,11,0,6,0,1,0.46,0.4545,0.36,0.4478,90,106,196,196,1,Siang
1772,2011-03-19,0,3,12,0,6,0,1,0.46,0.4545,0.33,0.4179,126,141,267,267,1,Siang
1773,2011-03-19,0,3,13,0,6,0,1,0.5,0.4848,0.34,0.4627,174,127,301,301,1,Sore
1774,2011-03-19,0,3,14,0,6,0,1,0.5,0.4848,0.31,0.4925,168,144,312,312,1,Sore
1775,2011-03-19,0,3,15,0,6,0,1,0.5,0.4848,0.29,0.4179,170,143,313,313,1,Sore
1776,2011-03-19,0,3,16,0,6,0,1,0.5,0.4848,0.31,0.3881,175,129,304,304,1,Sore
1777,2011-03-19,0,3,17,0,6,0,1,0.48,0.4697,0.31,0.3284,138,140,278,278,1,Sore
1778,2011-03-19,0,3,18,0,6,0,1,0.46,0.4545,0.31,0.3284,92,125,217,217,1,Sore
1779,2011-03-19,0,3,19,0,6,0,1,0.44,0.4394,0.33,0.2836,38,116,154,154,1,Malam
1780,2011-03-19,0,3,20,0,6,0,1,0.42,0.4242,0.35,0.2239,39,69,108,108,1,Malam
1781,2011-03-19,0,3,21,0,6,0,1,0.4,0.4091,0.37,0.2985,20,73,93,93,1,Malam
1782,2011-03-19,0,3,22,0,6,0,1,0.4,0.4091,0.37,0.3284,27,45,72,72,1,Malam
1783,2011-03-19,0,3,23,0,6,0,1,0.38,0.3939,0.4,0.2985,13,37,50,50,1,Malam
1784,2011-03-20,0,3,0,0,0,0,1,0.34,0.303,0.49,0.4179,7,33,40,40,1,
1785,2011-03-20,0,3,1,0,0,0,1,0.32,0.2879,0.53,0.3582,2,22,24,24,1,Pagi
1786,2011-03-20,0,3,2,0,0,0,1,0.3,0.2879,0.52,0.2836,6,24,30,30,1,Pagi
1787,2011-03-20,0,3,3,0,0,0,1,0.28,0.2727,0.56,0.2537,1,11,12,12,1,Pagi
1788,2011-03-20,0,3,4,0,0,0,1,0.26,0.2576,0.56,0.2239,2,1,3,3,1,Pagi
1789,2011-03-20,0,3,5,0,0,0,1,0.26,0.2576,0.6,0.194,3,6,9,9,1,Pagi
1790,2011-03-20,0,3,6,0,0,0,1,0.26,0.2576,0.6,0.2239,1,3,4,4,1,Pagi
1791,2011-03-20,0,3,7,0,0,0,1,0.24,0.2273,0.6,0.2239,5,9,14,14,1,Siang
1792,2011-03-20,0,3,8,0,0,0,1,0.28,0.2727,0.56,0.1642,7,30,37,37,1,Siang
1793,2011-03-20,0,3,9,0,0,0,1,0.3,0.303,0.52,0.1343,35,43,78,78,1,Siang
1794,2011-03-20,0,3,10,0,0,0,2,0.32,0.3485,0.45,0.0,55,81,136,136,1,Siang
1795,2011-03-20,0,3,11,0,0,0,1,0.34,0.3485,0.39,0.1045,92,111,203,203,1,Siang
1796,2011-03-20,0,3,12,0,0,0,1,0.36,0.3636,0.4,0.1045,120,108,228,228,1,Siang
1797,2011-03-20,0,3,13,0,0,0,1,0.38,0.3939,0.34,0.0,88,115,203,203,1,Sore
1798,2011-03-20,0,3,14,0,0,0,1,0.4,0.4091,0.3,0.0,145,134,279,279,1,Sore
1799,2011-03-20,0,3,15,0,0,0,1,0.4,0.4091,0.32,0.0896,172,136,308,308,1,Sore
1800,2011-03-20,0,3,16,0,0,0,1,0.42,0.4242,0.32,0.0,92,132,224,224,1,Sore
1801,2011-03-20,0,3,17,0,0,0,1,0.4,0.4091,0.35,0.2836,83,143,226,226,1,Sore
1802,2011-03-20,0,3,18,0,0,0,1,0.38,0.3939,0.4,0.3582,58,98,156,156,1,Sore
1803,2011-03-20,0,3,19,0,0,0,1,0.36,0.3333,0.43,0.2836,21,58,79,79,1,Malam
1804,2011-03-20,0,3,20,0,0,0,1,0.36,0.3333,0.46,0.2836,21,46,67,67,1,Malam
1805,2011-03-20,0,3,21,0,0,0,2,0.34,0.3182,0.53,0.2836,10,39,49,49,1,Malam
1806,2011-03-20,0,3,22,0,0,0,2,0.34,0.303,0.53,0.3284,8,30,38,38,1,Malam
1807,2011-03-20,0,3,23,0,0,0,3,0.34,0.303,0.61,0.3881,13,11,24,24,1,Malam
1808,2011-03-21,0,3,0,0,1,1,3,0.34,0.303,0.66,0.3881,2,11,13,13,2,
1809,2011-03-21,0,3,1,0,1,1,2,0.34,0.303,0.71,0.3881,1,6,7,7,2,Pagi
1810,2011-03-21,0,3,2,0,1,1,2,0.34,0.303,0.71,0.3284,1,5,6,6,2,Pagi
1811,2011-03-21,0,3,3,0,1,1,2,0.34,0.303,0.71,0.3284,0,1,1,1,2,Pagi
1812,2011-03-21,0,3,5,0,1,1,1,0.32,0.303,0.81,0.2985,1,1,2,2,2,Pagi
1813,2011-03-21,0,3,6,0,1,1,3,0.32,0.303,0.76,0.2537,2,30,32,32,2,Pagi
1814,2011-03-21,0,3,7,0,1,1,3,0.3,0.2727,0.87,0.4179,3,15,18,18,2,Siang
1815,2011-03-21,0,3,8,0,1,1,2,0.3,0.2727,0.87,0.4179,3,95,98,98,2,Siang
1816,2011-03-21,0,3,9,0,1,1,2,0.34,0.303,0.81,0.3284,12,115,127,127,2,Siang
1817,2011-03-21,0,3,10,0,1,1,2,0.38,0.3939,0.76,0.3881,17,45,62,62,2,Siang
1818,2011-03-21,0,3,11,0,1,1,2,0.42,0.4242,0.71,0.2985,32,47,79,79,2,Siang
1819,2011-03-21,0,3,12,0,1,1,2,0.44,0.4394,0.77,0.2537,25,56,81,81,2,Siang
1820,2011-03-21,0,3,13,0,1,1,2,0.5,0.4848,0.63,0.2239,35,77,112,112,2,Sore
1821,2011-03-21,0,3,14,0,1,1,2,0.54,0.5152,0.64,0.2239,36,65,101,101,2,Sore
1822,2011-03-21,0,3,15,0,1,1,2,0.56,0.5303,0.6,0.2239,41,66,107,107,2,Sore
1823,2011-03-21,0,3,16,0,1,1,2,0.54,0.5152,0.64,0.2836,29,112,141,141,2,Sore
1824,2011-03-21,0,3,17,0,1,1,2,0.54,0.5152,0.64,0.2537,41,231,272,272,2,Sore
1825,2011-03-21,0,3,18,0,1,1,2,0.52,0.5,0.72,0.2239,44,232,276,276,2,Sore
1826,2011-03-21,0,3,19,0,1,1,1,0.58,0.5455,0.6,0.4179,22,199,221,221,2,Malam
1827,2011-03-21,0,3,20,0,1,1,1,0.56,0.5303,0.64,0.194,16,106,122,122,2,Malam
1828,2011-03-21,0,3,21,0,1,1,1,0.46,0.4545,0.94,0.194,12,79,91,91,2,Malam
1829,2011-03-21,0,3,22,0,1,1,1,0.46,0.4545,0.88,0.2239,18,60,78,78,2,Malam
1830,2011-03-21,0,3,23,0,1,1,1,0.46,0.4545,0.88,0.0896,8,22,30,30,2,Malam
1831,2011-03-22,0,3,0,0,2,1,1,0.46,0.4545,0.88,0.194,4,7,11,11,2,
1832,2011-03-22,0,3,1,0,2,1,1,0.42,0.4242,1.0,0.1343,6,13,19,19,2,Pagi
1833,2011-03-22,0,3,2,0,2,1,1,0.44,0.4394,0.94,0.0896,0,1,1,1,2,Pagi
1834,2011-03-22,0,3,3,0,2,1,1,0.44,0.4394,0.82,0.2239,3,2,5,5,2,Pagi
1835,2011-03-22,0,3,4,0,2,1,2,0.42,0.4242,0.82,0.1642,0,1,1,1,2,Pagi
1836,2011-03-22,0,3,5,0,2,1,2,0.4,0.4091,0.87,0.1343,1,11,12,12,2,Pagi
1837,2011-03-22,0,3,6,0,2,1,1,0.4,0.4091,0.87,0.2537,2,58,60,60,2,Pagi
1838,2011-03-22,0,3,7,0,2,1,2,0.4,0.4091,0.76,0.1045,4,132,136,136,2,Siang
1839,2011-03-22,0,3,8,0,2,1,2,0.4,0.4091,0.58,0.2985,24,312,336,336,2,Siang
1840,2011-03-22,0,3,9,0,2,1,2,0.4,0.4091,0.58,0.4627,19,159,178,178,2,Siang
1841,2011-03-22,0,3,10,0,2,1,2,0.44,0.4394,0.54,0.2985,29,95,124,124,2,Siang
1842,2011-03-22,0,3,11,0,2,1,1,0.44,0.4394,0.51,0.3284,22,64,86,86,2,Siang
1843,2011-03-22,0,3,12,0,2,1,1,0.46,0.4545,0.47,0.2537,35,86,121,121,2,Siang
1844,2011-03-22,0,3,13,0,2,1,1,0.5,0.4848,0.45,0.2239,21,85,106,106,2,Sore
1845,2011-03-22,0,3,14,0,2,1,1,0.5,0.4848,0.42,0.3284,30,71,101,101,2,Sore
1846,2011-03-22,0,3,15,0,2,1,1,0.5,0.4848,0.42,0.2239,55,79,134,134,2,Sore
1847,2011-03-22,0,3,16,0,2,1,1,0.5,0.4848,0.42,0.1045,40,125,165,165,2,Sore
1848,2011-03-22,0,3,17,0,2,1,1,0.5,0.4848,0.42,0.1045,42,265,307,307,2,Sore
1849,2011-03-22,0,3,18,0,2,1,1,0.48,0.4697,0.44,0.0896,41,271,312,312,2,Sore
1850,2011-03-22,0,3,19,0,2,1,2,0.44,0.4394,0.54,0.2537,22,142,164,164,2,Malam
1851,2011-03-22,0,3,20,0,2,1,2,0.44,0.4394,0.54,0.3582,19,116,135,135,2,Malam
1852,2011-03-22,0,3,21,0,2,1,2,0.42,0.4242,0.54,0.2836,24,63,87,87,2,Malam
1853,2011-03-22,0,3,22,0,2,1,2,0.4,0.4091,0.58,0.2537,13,57,70,70,2,Malam
1854,2011-03-22,0,3,23,0,2,1,2,0.4,0.4091,0.58,0.2537,4,28,32,32,2,Malam
1855,2011-03-23,0,3,0,0,3,1,3,0.36,0.3485,0.71,0.2239,3,8,11,11,2,
1856,2011-03-23,0,3,1,0,3,1,3,0.34,0.3182,0.76,0.2239,0,7,7,7,2,Pagi
1857,2011-03-23,0,3,2,0,3,1,3,0.34,0.3182,0.76,0.2239,1,1,2,2,2,Pagi
1858,2011-03-23,0,3,3,0,3,1,2,0.34,0.3182,0.76,0.2537,0,3,3,3,2,Pagi
1859,2011-03-23,0,3,5,0,3,1,3,0.32,0.3182,0.87,0.194,0,10,10,10,2,Pagi
1860,2011-03-23,0,3,6,0,3,1,2,0.34,0.3182,0.87,0.2537,1,43,44,44,2,Pagi
1861,2011-03-23,0,3,7,0,3,1,2,0.32,0.303,0.93,0.2239,7,111,118,118,2,Siang
1862,2011-03-23,0,3,8,0,3,1,2,0.32,0.3182,0.87,0.194,14,247,261,261,2,Siang
1863,2011-03-23,0,3,9,0,3,1,2,0.32,0.303,0.81,0.2537,8,174,182,182,2,Siang
1864,2011-03-23,0,3,10,0,3,1,2,0.34,0.3182,0.81,0.2836,15,60,75,75,2,Siang
1865,2011-03-23,0,3,11,0,3,1,2,0.34,0.3333,0.87,0.194,18,53,71,71,2,Siang
1866,2011-03-23,0,3,12,0,3,1,2,0.34,0.3182,0.87,0.2239,14,73,87,87,2,Siang
1867,2011-03-23,0,3,13,0,3,1,3,0.34,0.3333,0.87,0.1343,14,94,108,108,2,Sore
1868,2011-03-23,0,3,14,0,3,1,2,0.36,0.3636,0.87,0.1045,13,71,84,84,2,Sore
1869,2011-03-23,0,3,15,0,3,1,2,0.38,0.3939,0.82,0.2239,11,74,85,85,2,Sore
1870,2011-03-23,0,3,16,0,3,1,2,0.4,0.4091,0.76,0.2239,13,123,136,136,2,Sore
1871,2011-03-23,0,3,17,0,3,1,2,0.4,0.4091,0.76,0.2239,28,245,273,273,2,Sore
1872,2011-03-23,0,3,18,0,3,1,3,0.38,0.3939,0.82,0.2537,20,218,238,238,2,Sore
1873,2011-03-23,0,3,19,0,3,1,3,0.38,0.3939,0.82,0.2537,12,147,159,159,2,Malam
